WP_002551829.1	WP_002551829.1	76	76	76	76	100.00	100	7e-51	154
WP_002552737.1	WP_002552737.1	90	90	90	90	100.00	100	3e-58	174
WP_002553018.1	WP_003347084.1	83	83	83	82	98.80	100	4e-51	155
WP_002553160.1	WP_002553160.1	64	64	64	64	100.00	100	5e-40	126
WP_002553164.1	WP_002553164.1	100	100	100	100	100.00	100	2e-68	201
WP_002553999.1	WP_002553999.1	72	72	72	72	100.00	100	1e-48	149
WP_002554426.1	WP_002554426.1	62	62	62	62	100.00	100	2e-39	124
WP_002554837.1	WP_002554837.1	69	69	69	69	100.00	100	2e-45	140
WP_002555108.1	WP_002555108.1	345	345	345	345	100.00	100	0.0	692
WP_002555466.1	WP_002555466.1	129	129	129	129	100.00	100	6e-92	263
WP_002555468.1	WP_050601893.1	38	553	14	10	71.43	34	2.6	21.9
WP_002555479.1	WP_002555479.1	122	122	122	122	100.00	100	3e-85	245
WP_002555486.1	WP_002555486.1	91	91	91	91	100.00	100	2e-63	187
WP_002555488.1	WP_002555488.1	99	99	99	99	100.00	100	3e-67	198
WP_002555493.1	WP_003400433.1	156	156	156	154	98.72	100	2e-109	309
WP_002555494.1	WP_002555494.1	123	123	123	123	100.00	100	1e-86	249
WP_002555808.1	WP_002555808.1	112	112	112	112	100.00	100	3e-75	219
WP_002555987.1	WP_002555987.1	85	85	85	85	100.00	100	2e-51	157
WP_003103908.1	WP_002555485.1	110	110	110	109	99.09	100	2e-73	214
WP_003118432.1	WP_011267538.1	275	277	232	101	43.53	81	3e-46	157
WP_003127304.1	WP_032655801.1	192	5379	86	24	27.91	43	1.1	27.3
WP_003127305.1	WP_024642320.1	466	352	68	23	33.82	14	0.26	30.8
WP_003127475.1	WP_032654703.1	514	483	71	22	30.99	13	0.062	33.1
WP_003127731.1	WP_003339525.1	289	308	290	88	30.34	96	5e-25	100
WP_003127751.1	WP_046722313.1	213	63	64	44	68.75	30	1e-22	86.7
WP_003132541.1	WP_032657015.1	488	691	111	23	20.72	22	0.14	32.0
WP_003132543.1	WP_032657257.1	642	209	116	31	26.72	16	7.5	26.2
WP_003132545.1	WP_024639743.1	682	701	67	25	37.31	10	0.93	29.6
WP_003172271.1	WP_003339591.1	247	246	246	242	98.37	99	4e-179	494
WP_003172477.1	WP_002554912.1	193	193	193	188	97.41	100	7e-138	385
WP_003175465.1	WP_004408120.1	61	63	61	48	78.69	100	6e-29	97.8
WP_003175607.1	WP_004408315.1	78	80	77	74	96.10	99	7e-47	144
WP_003175895.1	WP_002552524.1	116	116	116	114	98.28	100	6e-80	231
WP_003176051.1	WP_002551971.1	104	103	102	100	98.04	98	9e-70	204
WP_003176102.1	WP_002552075.1	163	163	163	158	96.93	100	4e-112	317
WP_003176118.1	WP_002552060.1	58	58	58	56	96.55	100	1e-34	112
WP_003176135.1	WP_002555121.1	89	89	89	82	92.13	100	2e-55	167
WP_003176412.1	WP_002555474.1	177	177	177	170	96.05	100	1e-121	342
WP_003176414.1	WP_003400428.1	101	101	101	98	97.03	100	3e-68	201
